Sample,Treatment,Depth,Block,Description,Bac_QPCR,Fun_QPCR,B.Density_gcm3,Sand_percent,Silt_percent,Clay_percent,TexturalClass,pH, No3_ugPerg, Nh4_ugPerg,N_percent,C_percent,C_N_ratio,Glucosidase_(mg pnit/kgsoil/hr.calc061214),Glucosaminidase_(mg pnit/kgsoil/hr;calc061214),Urease(mg_NH4/kg_soil/hr)
FSP01,Org3,0_5,1,Org30_51,2.92623E+13,25368656.84,1.25,18.2,60.6,21.2,Silt Loam,6.79,5.25,3.705,0.16,1.58,10.03,511.8,191.9,25.1
FSP02,Org3,5_10,1,Org35_101,3.28238E+13,18286660.92,1.41,18.7,59.7,21.6,Silt Loam,7.18,4.615,1.905,0.15,1.48,9.69,330.2,215.3,15.5
FSP03,Org3,10Ap,1,Org310Ap1,2.64974E+13,10015140.85,1.44,18.0,60.7,21.3,Silt Loam,7.33,2.135,4.285,0.13,1.27,10.05,305.2,159.9,4.4
FSP04,Org3,Ap30,1,Org3Ap301,3.31914E+11,475419.3827,1.56,12.2,52.4,35.4,Silty Clay Loam,7.44,1.045,1.03,0.04,0.32,8.19,45.8,62.0,
FSP05,Org3,30_60,1,Org330_601,1.00E+07,371861.6426,1.62,11.6,50.9,37.5,Silty Clay Loam,5.26,1.81,0.015,0.03,0.15,5.77,43.3,69.8,
FSP06,Org3,60_100,1,Org360_1001,1.00E+07,3012.70778,,,,,,,,,,,,,,
FSP07,CT,0_5,1,CT0_51,4.33273E+13,24444677.27,1.19,19.8,59.5,20.7,Silt Loam,6.62,9.35,1.735,0.15,1.52,9.94,330.1,143.7,21.5
FSP08,CT,5_10,1,CT5_101,4.56335E+13,13504437.32,1.34,19.2,59.5,21.3,Silt Loam,6.47,6.1,0.75,0.14,1.48,10.74,315.8,110.0,8.3
FSP09,CT,10Ap,1,CT10Ap1,4.82087E+12,2427690.462,1.63,16.8,63.5,19.7,Silt Loam,7.11,3.79,1.25,0.08,0.82,10.37,111.9,154.3,3.8
FSP10,CT,Ap30,1,CTAp301,3.22754E+11,399504.6664,1.44,9.7,56.2,34.1,Silty Clay Loam,7.28,1.065,1.445,0.04,0.28,7.46,52.8,69.5,
FSP11,CT,30_60,1,CT30_601,2.4737E+11,637362.0644,1.48,8.8,49.0,42.2,Silty Clay,5.25,1.17,1.705,0.03,0.19,6.51,46.3,,
FSP12,CT,60_100,1,CT60_1001,1.00E+07,41153.24945,,,,,,,,,,,,,,
FSP13,NT,0_5,1,NT0_51,3.98643E+13,21866528.24,1.19,20.9,59.8,19.4,Silt Loam,6.35,4.075,2,0.17,1.79,10.65,411.2,175.0,21.3
FSP14,NT,5_10,1,NT5_101,2.03303E+13,5410528.188,1.30,19.7,59.1,21.2,Silt Loam,6.40,2.83,1.32,0.13,1.38,10.38,287.5,169.7,12.8
FSP15,NT,10Ap,1,NT10Ap1,1.12783E+13,4130747.747,1.40,19.3,57.8,22.8,Silt Loam,7.05,2.495,1.16,0.10,1.35,13.39,132.9,85.3,5.7
FSP16,NT,Ap30,1,NTAp301,1.11537E+12,1239144.314,1.66,10.6,51.3,38.1,Silty Clay Loam,7.05,2.725,1.82,0.05,0.42,8.08,70.6,71.4,
FSP17,NT,30_60,1,NT30_601,4.11432E+11,696767.4199,1.54,4.3,45.2,50.5,Silty Clay,5.40,1.23,2.09,0.04,0.26,7.21,39.6,74.4,
FSP18,NT,60_100,1,NT60_1001,1.00E+07,27411.39505,,,,,,,,,,,,,,
FSP19,Org3,0_5,2,Org30_52,3.18065E+13,39951152.56,1.37,22.2,56.1,21.6,Silt Loam,6.77,7.25,0.74,0.16,1.69,10.30,302.1,213.4,17.9
FSP20,Org3,5_10,2,Org35_102,3.86827E+13,18976963.58,1.29,23.1,55.8,21.1,Silt Loam,7.04,3.85,0.96,0.17,1.70,10.25,270.1,166.4,26.3
FSP21,Org3,10Ap,2,Org310Ap2,1.52557E+13,3546654.99,1.61,22.0,53.8,24.1,Silt Loam,7.18,1.84,2.46,0.12,1.32,11.09,213.6,91.3,8.8
FSP22,Org3,Ap30,2,Org3Ap302,1.90372E+11,363636.7772,1.63,20.2,49.8,30.0,Clay Loam,7.25,0.875,1.54,0.03,0.24,6.80,38.6,74.8,
FSP23,Org3,30_60,2,Org330_602,1.00E+07,32.3048172,1.63,18.8,56.3,24.9,Silt Loam,5.80,1.665,0.84,0.02,0.14,6.41,34.1,104.5,
FSP24,Org3,60_100,2,Org360_1002,1.00E+07,15.45800813,,,,,,,,,,,,,,
FSP25,CT,0_5,2,CT0_52,3.22207E+13,16360607.08,1.35,28.2,53.6,18.2,Silt Loam,6.48,7.7,3.805,0.13,1.42,10.64,319.9,125.5,11.6
